Event_ID,Timestamp,Vehicle_ID,Is_Violation,Speed_KPH,Throttle,Brake,Steer,Heading,Latitude,Longitude,Altitude,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,LiDAR_Points,Proximity_Alert,Collision_Partner,Traffic_Light_State,Lane_Type
eb17d52b,13-04-2025 10:55,3cf5e815,0,8.582369727,0.850000024,0,-0.182047546,-2.297607422,-0.000219258,-0.00057443,-0.010191193,2.88068676,-0.74843049,9.721064568,-0.00668578,0.013609412,-0.196308106,4988,1,None,None,Driving
82a36758,13-04-2025 10:55,82b227dd,1,8.131858307,0.850000024,0,-0.031970818,90.33972931,-0.000660028,-0.000998148,0.031590536,3.519385576,-0.069478273,8.632236481,-0.016076097,-0.001780391,-0.016076371,5280,1,None,None,Driving
866b43e4,13-04-2025 10:55,396768a5,0,8.498872649,0.850000024,0,0.001319482,0.286027104,-0.000251319,-0.000585511,-0.019618606,1.70830071,-0.000208353,9.806426048,6.31E-06,-0.000224564,0.000762057,5524,1,None,None,Driving
b7f8fea2,13-04-2025 10:55,75a08b48,0,19.84242309,0.10684187,0,0.007116084,-174.8948364,-0.000113012,-0.000848252,-0.010686531,-2.422960997,0.089127541,9.792528152,-0.000590276,0.005942366,0.021136783,5516,1,None,None,Driving
6fcf1235,13-04-2025 10:55,7b384fe9,0,23.50204005,0,0.699999988,-0.10018529,178.0633698,-0.000148962,-0.000838756,-0.000889778,-2.700903177,-1.228368998,9.806587219,-0.014533765,0.019418485,-0.101547182,5228,1,None,None,Driving
a6448f16,13-04-2025 10:55,15fa5b49,0,20.22899818,0.026860766,0,0.064069115,-87.13758087,0.000204219,-0.000924093,0.068111226,-3.268112898,-0.182938337,9.797540665,5.99E-05,0.025022073,0.061001126,5396,1,None,None,Driving
1c7c1d1c,13-04-2025 10:55,2d744a52,0,20.17311615,0.375011653,0,0.00332348,-87.12973022,0.000193559,-0.00095617,-0.029413756,-0.894375265,0.026474297,9.791806221,0.001892737,-0.00427334,0.008240599,5284,1,None,None,Driving
b8fde644,13-04-2025 10:55,7e92bef7,0,20.3804239,0.181600392,0,0.001072903,90.45800018,-0.000613344,-0.000997341,-0.004078522,-1.385363102,0.001668334,9.786710739,-0.000201703,0.00961175,0.001878298,5456,1,None,None,Driving
3f7b2e6e,13-04-2025 10:55,559432b7,0,18.51219859,0.850000024,0,-0.010726383,89.96327972,-0.000646491,-0.001028909,0.002495003,-0.399678528,-0.10686487,9.834353447,-0.002640419,0.002240288,-0.069436096,5060,1,None,None,Driving
0a47f616,13-04-2025 10:55,82b227dd,0,20.55009538,0.274953932,0,-0.126358703,80.1738205,-0.000819804,-0.000982694,-0.003472404,-0.444854736,-1.355742693,9.813508034,-0.008720363,0.000514242,-0.073138632,5372,1,None,None,Driving
